forecast_at,forecast_for,fcst_precip,fcst_temp,fcst_feels_like,fcst_wind,fcst_gust,fcst_visibility,fcst_humidity,fcst_UV,fcst_weather
2021-06-30T15:25:13Z,2021-06-30T16:00:00Z,10%,15°,13°,NNE_13,20,VG,73%,4,Overcast
2021-06-30T15:25:13Z,2021-06-30T17:00:00Z,<5%,16°,13°,NNE_14,21,VG,69%,3,Sunny intervals
2021-06-30T15:25:13Z,2021-06-30T18:00:00Z,<5%,16°,13°,NNE_14,21,VG,67%,2,Sunny day
2021-06-30T15:25:13Z,2021-06-30T19:00:00Z,<5%,15°,12°,NNE_14,22,VG,68%,1,Sunny day
2021-06-30T15:25:13Z,2021-06-30T20:00:00Z,<5%,14°,12°,NNE_12,20,VG,69%,1,Sunny intervals
2021-06-30T15:25:13Z,2021-06-30T21:00:00Z,<5%,13°,11°,NNE_10,18,VG,75%,1,Sunny intervals
2021-06-30T15:25:13Z,2021-06-30T22:00:00Z,<5%,12°,10°,N_8,18,VG,78%,-,Partly cloudy (night)
2021-06-30T15:25:13Z,2021-06-30T23:00:00Z,<5%,12°,10°,N_8,17,VG,81%,-,Partly cloudy (night)
2021-06-30T15:25:13Z,2021-07-01T00:00:00Z,<5%,11°,9°,N_8,17,VG,83%,-,Partly cloudy (night)
2021-06-30T15:25:13Z,2021-07-01T01:00:00Z,<5%,11°,9°,NNW_8,18,VG,85%,-,Partly cloudy (night)
2021-06-30T15:25:13Z,2021-07-01T02:00:00Z,<5%,10°,8°,NNW_8,17,G,86%,-,Partly cloudy (night)
2021-06-30T15:25:13Z,2021-07-01T03:00:00Z,<5%,10°,8°,NNW_7,16,G,86%,-,Cloudy
2021-06-30T15:25:13Z,2021-07-01T04:00:00Z,10%,10°,8°,NW_7,15,VG,86%,-,Cloudy
2021-06-30T15:25:13Z,2021-07-01T05:00:00Z,10%,10°,9°,NNW_7,15,VG,85%,1,Cloudy
2021-06-30T15:25:13Z,2021-07-01T06:00:00Z,10%,11°,9°,NNW_8,15,VG,85%,1,Cloudy
2021-06-30T15:25:13Z,2021-07-01T07:00:00Z,10%,11°,10°,NNW_9,15,G,84%,1,Cloudy
2021-06-30T15:25:13Z,2021-07-01T08:00:00Z,10%,12°,10°,NNW_8,14,G,83%,2,Cloudy
2021-06-30T15:25:13Z,2021-07-01T09:00:00Z,10%,13°,11°,N_8,14,VG,81%,3,Cloudy
2021-06-30T15:25:13Z,2021-07-01T10:00:00Z,10%,14°,12°,N_8,13,VG,78%,4,Cloudy
