obs_at,temp,wind,gust,visibility,humidity,pressure,pressure_trend,weather,Wind gust in miles per hour
2021-06-24T13:00:00Z,21.9°,W_15,NA,E,62%,"1,018",F,Cloudy,NA
2021-06-24T14:00:00Z,21.3°,W_17,NA,E,61%,"1,018",F,Cloudy,NA
2021-06-24T15:00:00Z,21.6°,WSW_14,NA,E,57%,"1,018",F,Cloudy,NA
2021-06-24T16:00:00Z,21.7°,WSW_14,NA,E,48%,"1,018",F,Cloudy,NA
2021-06-24T17:00:00Z,20.8°,W_9,NA,E,47%,"1,017",F,Sunny day,NA
2021-06-24T18:00:00Z,18.1°,WSW_16,NA,E,47%,"1,017",F,Cloudy,NA
2021-06-24T19:00:00Z,14.8°,W_10,NA,M,85%,"1,017",F,Heavy rain,NA
2021-06-24T20:00:00Z,14.3°,SW_6,NA,M,94%,"1,017",F,Heavy rain,NA
2021-06-24T21:00:00Z,14.0°,SSW_6,NA,M,96%,"1,017",F,Light rain,NA
2021-06-24T22:00:00Z,14.0°,SSE_3,NA,M,97%,"1,017",F,Light rain,NA
2021-06-24T23:00:00Z,14.4°,S_6,NA,G,98%,"1,016",F,Light rain,NA
2021-06-25T00:00:00Z,14.0°,S_2,NA,M,98%,"1,016",F,Heavy rain,NA
2021-06-25T01:00:00Z,14.0°,ESE_2,NA,M,99%,"1,016",F,Light rain,NA
2021-06-25T02:00:00Z,13.9°,ENE_3,NA,M,99%,"1,015",F,Light rain,NA
2021-06-25T03:00:00Z,12.5°,N_10,25,VP,97%,"1,015",F,Heavy rain,NA
2021-06-25T04:00:00Z,11.5°,N_13,NA,M,97%,"1,016",R,Light rain,NA
2021-06-25T05:00:00Z,11.2°,N_11,NA,P,99%,"1,016",R,Light rain,NA
2021-06-25T06:00:00Z,11.2°,N_14,NA,M,98%,"1,016",R,Light rain,NA
2021-06-25T07:00:00Z,11.2°,N_15,NA,M,97%,"1,016",R,Heavy rain,NA
2021-06-25T08:00:00Z,11.6°,N_15,NA,G,96%,"1,017",R,Light rain,NA
2021-06-25T09:00:00Z,11.7°,N_18,NA,M,95%,"1,017",R,Light rain,NA
2021-06-25T10:00:00Z,11.7°,N_16,NA,M,95%,"1,017",R,Light rain,NA
2021-06-25T11:00:00Z,11.5°,N_17,NA,M,95%,"1,017",R,Light rain,NA
2021-06-25T12:00:00Z,11.3°,N_17,NA,M,95%,"1,018",R,Light rain,NA
2021-06-25T13:00:00Z,10.8°,N_15,NA,M,96%,"1,018",R,Light rain,NA
2021-06-25T14:00:00Z,11.7°,N_15,NA,M,96%,"1,018",R,Drizzle,NA
2021-06-25T15:00:00Z,11.0°,N_15,NA,G,94%,"1,018",R,Drizzle,NA
2021-06-25T16:00:00Z,11.2°,N_15,NA,M,94%,"1,018",F,Light rain,NA
2021-06-25T17:00:00Z,11.0°,N_15,NA,G,92%,"1,018",R,Light rain,NA
2021-06-25T18:00:00Z,11.0°,N_13,NA,VG,91%,"1,018",R,Drizzle,NA
2021-06-25T19:00:00Z,11.5°,N_11,NA,VG,89%,"1,018",R,Cloudy,NA
2021-06-25T20:00:00Z,11.4°,NNW_7,NA,VG,90%,"1,019",R,Overcast,NA
2021-06-25T21:00:00Z,10.8°,N_9,NA,G,94%,"1,019",R,Drizzle,NA
2021-06-25T22:00:00Z,10.5°,NNW_9,NA,M,97%,"1,019",R,Overcast,NA
2021-06-25T23:00:00Z,10.7°,NNW_10,NA,VG,98%,"1,019",R,Overcast,NA
2021-06-26T00:00:00Z,10.7°,NNW_10,NA,G,97%,"1,019",R,Overcast,NA
2021-06-26T01:00:00Z,10.6°,NW_8,NA,M,97%,"1,020",R,Mist,NA
2021-06-26T02:00:00Z,10.7°,NW_6,NA,VG,98%,"1,020",R,Cloudy,NA
2021-06-26T03:00:00Z,10.9°,NNW_9,NA,E,96%,"1,020",R,Overcast,NA
2021-06-26T04:00:00Z,10.9°,NW_7,NA,E,96%,"1,019",F,Overcast,NA
2021-06-26T05:00:00Z,11.4°,NW_5,NA,E,94%,"1,020",R,Overcast,NA
2021-06-26T06:00:00Z,12.0°,NNW_7,NA,E,92%,"1,020",R,Overcast,NA
2021-06-26T07:00:00Z,12.5°,NNW_5,NA,VG,94%,"1,020",R,Overcast,NA
2021-06-26T08:00:00Z,12.4°,N_7,NA,P,96%,"1,021",R,Drizzle,NA
